Cell_name	Zvalue	Color	Cluster	CTNNB1	NELFCD
MGH36_P4_E02	NA	black	0	2.1528	0
MGH36_P4_E04	-0.471441626511	green3	2	3.3973	6.3892
MGH36_P4_E06	NA	black	0	4.0307	0
MGH36_P4_E07	NA	black	0	5.0485	0
MGH36_P4_E08	0.558189762425	green3	2	5.2807	4.9958
MGH36_P4_E09	NA	black	0	2.923	0
MGH36_P4_E10	NA	black	0	0.91073	0
MGH36_P4_E11	-0.322626640417	green3	2	3.3118	5.4232
MGH36_P4_E12	NA	black	0	2.3997	0
MGH36_P4_F01	NA	black	0	3.2478	0
MGH36_P4_F02	NA	black	0	1.4818	0
MGH36_P4_F03	NA	black	0	5.8145	0
MGH36_P4_F04	-1.32382649587	red	1	0.96864	5.0478
MGH36_P4_F05	NA	black	0	0.32077	0
MGH36_P4_F06	NA	black	0	2.4993	0
MGH36_P4_F07	-0.0687773173034	green3	2	5.327	3.8516
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	0.168667308928	green3	2	4.6404	4.5076
MGH36_P4_F11	0.474463347898	green3	2	5.2895	4.8343
MGH36_P4_F12	NA	black	0	5.2629	0
MGH36_P4_G01	NA	black	0	5.9051	0
MGH36_P4_G02	NA	black	0	0	6.0855
MGH36_P4_G03	-3.91257790276	black	0	0.81311	7.1467
MGH36_P4_G04	NA	black	0	4.886	0
MGH36_P4_G05	NA	black	0	1.8237	0
MGH36_P4_G06	0.439639578114	green3	2	4.4609	5.9376
MGH36_P4_G08	0.107050424901	green3	2	3.6619	0.72072
MGH36_P4_G09	4.41784025835	black	0	0.44361	0.32884
MGH36_P4_G10	NA	black	0	0	0
MGH36_P4_G11	2.4659489506	black	0	1.9088	0.35614
MGH36_P4_H01	0.0697071080847	green3	2	4.1485	4.5446
MGH36_P4_H02	1.0613995747	green3	2	5.2527	5.9971
MGH36_P4_H03	NA	black	0	3.6369	0
MGH36_P4_H04	NA	black	0	3.7968	0
MGH36_P4_H05	NA	black	0	5.4877	0
MGH36_P4_H09	NA	black	0	1.7035	0
MGH36_P4_H12	NA	black	0	0	0
MGH36_P6_A02	NA	black	0	1.144	0
MGH36_P6_A04	-0.0456621905179	green3	2	4.1702	3.5961
MGH36_P6_A05	0.170714723979	green3	2	3.3454	2.9514
MGH36_P6_A07	-1.82988707288	black	0	1.168	5.6231
MGH36_P6_A08	0.126607524	green3	2	5.4106	4.1841
MGH36_P6_A09	-0.00748912649655	green3	2	3.8191	4.5839
MGH36_P6_A10	0.970873291387	green3	2	5.1978	5.8963
MGH36_P6_A11	-0.467860062011	green3	2	2.1509	4.6035
MGH36_P6_B03	NA	black	0	4.6322	0
MGH36_P6_B04	0.0876971361803	green3	2	5.1723	4.1388
