Cell_name	Zvalue	Color	Cluster	BRCA1	STAT3
MGH60_P5_G08	NA	black	0	0	4.0687
MGH60_P5_G09	NA	black	0	0	2.8982
MGH60_P5_G10	2.12144427776	black	0	4.2052	3.4602
MGH60_P5_G11	1.98860249231	black	0	3.8595	3.4965
MGH60_P5_G12	0.712977935376	red	1	0.070389	0.055196
MGH60_P5_H01	NA	black	0	0	3.3391
MGH60_P5_H02	-0.044982365613	red	1	0.53506	2.6989
MGH60_P5_H03	-0.206184334163	red	1	0.5509	4.3988
MGH60_P5_H04	NA	black	0	0	3.4778
MGH60_P5_H05	0.458965530627	green3	2	0.26664	0.1865
MGH60_P5_H06	NA	black	0	0	0
MGH60_P5_H07	NA	black	0	0	2.7373
MGH60_P5_H08	NA	black	0	0	4.0326
MGH60_P5_H09	0.672144437873	red	1	1.1157	5.5664
MGH60_P5_H10	NA	black	0	0	0
MGH60_P5_H11	NA	black	0	0	0.10836
MGH60_P5_H12	0.758451611046	red	1	0.032806	0.048236
MGH60_P6_A01	NA	black	0	2.3004	0
MGH60_P6_A02	0.654759699443	green3	2	0.085425	0.1865
MGH60_P6_A03	NA	black	0	0	6.3904
MGH60_P6_A04	-1.13454898071	red	1	4.2227	1.719
MGH60_P6_A05	0.441832012166	green3	2	0.29396	0.12433
MGH60_P6_A06	NA	black	0	0	0.31034
MGH60_P6_A07	-0.367616918058	red	1	0.1375	3.3936
MGH60_P6_A08	NA	black	0	0	0.098958
MGH60_P6_A09	0.14358836799	red	1	0.41034	1.2922
MGH60_P6_A10	0.278125443436	red	1	1.0222	3.9741
MGH60_P6_A11	0.54005572904	green3	2	0.17377	0.25942
MGH60_P6_A12	0.449186637106	green3	2	0.27739	0.1776
MGH60_P6_B01	NA	black	0	0	0.40054
MGH60_P6_B03	NA	black	0	0	4.7222
MGH60_P6_B04	NA	black	0	0	4.9048
MGH60_P6_B05	-0.760063706713	red	1	0.089498	4.432
MGH60_P6_B06	NA	black	0	0	0.19787
MGH60_P6_B07	NA	black	0	0	0.41034
MGH60_P6_B08	NA	black	0	0	3.9727
MGH60_P6_B09	NA	black	0	0	4.9626
MGH60_P6_B10	0.0461264600548	red	1	0.76553	5.9706
MGH60_P6_B11	NA	black	0	0	1.9027
MGH60_P6_B12	0.106793329654	red	1	0.084064	1.8914
MGH60_P6_C02	NA	black	0	1.4998	0
MGH60_P6_C03	NA	black	0	0	1.6126
MGH60_P6_C05	NA	black	0	0	1.6337
MGH60_P6_C06	NA	black	0	0	0
MGH60_P6_C07	NA	black	0	0	4.1618
MGH60_P6_C08	-0.183837498703	red	1	0.55876	4.2683
MGH60_P6_C09	NA	black	0	0	0.19912
MGH60_P6_C10	-0.235703841403	red	1	0.41468	3.6566
MGH60_P6_C11	NA	black	0	0	3.4575
MGH60_P6_D01	NA	black	0	3.9818	0
MGH60_P6_D03	NA	black	0	0	3.7386
MGH60_P6_D04	NA	black	0	0	0
MGH60_P6_D05	NA	black	0	0	0
MGH60_P6_D06	NA	black	0	0	4.9571
MGH60_P6_D07	NA	black	0	0	4.1698
MGH60_P6_D08	-0.352834938283	red	1	0.23266	3.5661
MGH60_P6_D09	NA	black	0	0.22157	0
MGH60_P6_D11	NA	black	0	0	0.51702
MGH60_P6_D12	-0.643994274412	red	1	0.10165	4.1381
MGH60_P6_E01	NA	black	0	0	3.1327
MGH60_P6_E02	0.00284098825061	red	1	0.89297	2.2624
MGH60_P6_E03	NA	black	0	0	0.36737
MGH60_P6_E04	NA	black	0	0	0
MGH60_P6_E05	1.80269227932	black	0	2.4628	4.2123
MGH60_P6_E06	0.278421171494	red	1	0.36513	0.6332
MGH60_P6_E07	-0.174460850092	red	1	0.61918	5.0615
MGH60_P6_E08	NA	black	0	0	0
MGH60_P6_E09	NA	black	0	0	4.1062
MGH60_P6_E10	NA	black	0	0	5.737
MGH60_P6_E11	NA	black	0	0	0
MGH60_P6_E12	NA	black	0	0	2.9366
MGH60_P6_F02	NA	black	0	0	0.50182
MGH60_P6_F03	NA	black	0	0	5.9685
MGH60_P6_F04	NA	black	0	0.58207	0
MGH60_P6_F05	NA	black	0	0	5.1236
MGH60_P6_F06	NA	black	0	0	6.0554
MGH60_P6_F07	4.62737924117	black	0	3.4962	5.4403
MGH60_P6_F08	0.0112273201816	red	1	0.54597	2.0939
MGH60_P6_F09	NA	black	0	0	4.1112
MGH60_P6_F10	1.72148117848	black	0	2.06	4.6804
MGH60_P6_F11	NA	black	0	0	1.6567
MGH60_P6_F12	-1.15859818196	red	1	0.090853	5.5503
MGH60_P6_G01	NA	black	0	0	4.7329
MGH60_P6_G02	NA	black	0	0	3.5287
MGH60_P6_G03	0.437423563766	green3	2	0.27977	0.22157
MGH60_P6_G04	NA	black	0	0	1.4038
MGH60_P6_G05	-0.235112477614	red	1	0.24245	3.1421
MGH60_P6_G06	NA	black	0	0	0.17505
MGH60_P6_G07	NA	black	0	0	5.2767
MGH60_P6_G08	NA	black	0	0	2.1483
MGH60_P6_G10	NA	black	0	0	5.0505
MGH60_P6_G11	NA	black	0	0	4.3288
MGH60_P6_G12	NA	black	0	0	3.4552
