Cell_name	Zvalue	Color	Cluster	ATM	BRCA1
MGH54_P10_F03	NA	black	0	2.962	0
MGH54_P10_F04	-0.258574054298	red	1	2.9209	0.61164
MGH54_P10_F05	NA	black	0	0.37629	0
MGH54_P10_F06	NA	black	0	0.27381	0
MGH54_P10_F08	NA	black	0	2.1738	0
MGH54_P10_F09	NA	black	0	0.27381	0
MGH54_P10_F10	NA	black	0	0.15186	0
MGH54_P10_F11	0.278949923038	green3	2	0.19409	0.23266
MGH54_P10_F12	NA	black	0	0.23511	0
MGH54_P10_G01	0.189675160843	green3	2	0.12035	0.39616
MGH54_P10_G02	NA	black	0	0.45628	0
MGH54_P10_G03	-1.04028049601	red	1	3.0426	0.23143
MGH54_P10_G05	NA	black	0	0	4.3821
MGH54_P10_G06	NA	black	0	0.15834	0
MGH54_P10_G07	NA	black	0	0.10836	0
MGH54_P10_G09	NA	black	0	0	0.38184
MGH54_P10_G10	0.223636667151	green3	2	0.35276	0.2228
MGH54_P10_G11	NA	black	0	0.03984	0
MGH54_P10_G12	-0.462115101263	red	1	3.3192	0.5568
MGH54_P10_H02	0.041771291611	green3	2	0.7277	0.42331
MGH54_P10_H03	NA	black	0	0.23389	0
MGH54_P10_H04	0.330075962475	green3	2	0.14405	0.18523
MGH54_P10_H05	NA	black	0	0.20414	0
MGH54_P10_H06	0.271159195258	green3	2	0.20038	0.24123
MGH54_P10_H07	0.267997107473	green3	2	0.14796	0.27381
MGH54_P10_H08	-0.0748299962678	red	1	0.092207	0.7536
MGH54_P10_H09	0.208672374265	green3	2	0.19787	0.34028
MGH54_P10_H10	NA	black	0	0.18142	0
MGH54_P10_H11	NA	black	0	0	0.25822
MGH54_P10_H12	0.260941195351	green3	2	0.29396	0.19661
MGH54_P11_A01	NA	black	0	1.5135	0
MGH54_P11_A02	0.0997109900037	green3	2	0.38847	0.45838
MGH54_P11_A03	NA	black	0	1.1303	0
MGH54_P11_A04	NA	black	0	0.28688	0
MGH54_P11_A05	NA	black	0	0.28333	0
MGH54_P11_A06	NA	black	0	0.73466	0
MGH54_P11_A08	-0.195017373761	red	1	0.56267	1.2376
MGH54_P11_A09	NA	black	0	1.3623	0
MGH54_P11_A10	-0.192058247752	red	1	0.95903	3.8313
MGH54_P11_A11	NA	black	0	0.75873	0
MGH54_P11_A12	0.190621079228	green3	2	0.22527	0.35727
MGH54_P11_B01	NA	black	0	2.4484	0
MGH54_P11_B02	NA	black	0	0.3471	0
MGH54_P11_B03	NA	black	0	0.55876	0
MGH54_P11_B04	9.9058603713	black	0	3.6492	4.9331
