Cell_name	Zvalue	Color	Cluster	ERCC4	FOS
MGH36_P3_C12	-0.182787675933	red	1	0.65168	10.294
MGH36_P3_D01	-0.279870895543	red	1	0.25096	8.7649
MGH36_P3_D02	NA	black	0	0	8.1767
MGH36_P3_D03	0.689392802413	red	1	1.9833	9.1415
MGH36_P3_D04	-0.78602862756	red	1	0.14012	10.714
MGH36_P3_D07	0.123091713909	red	1	0.16607	6.7725
MGH36_P3_D08	NA	black	0	0.22157	0
MGH36_P3_D09	-0.353356968314	red	1	0.17121	8.9238
MGH36_P3_D11	NA	black	0	0	9.9425
MGH36_P3_E02	-0.332486588531	red	1	0.39944	9.614
MGH36_P3_E04	0.352451911345	red	1	0.19283	5.6719
MGH36_P3_E05	0.0307425177481	red	1	0.53506	7.0194
MGH36_P3_E06	NA	black	0	1.109	0
MGH36_P3_E07	0.226923325956	red	1	0.12697	6.3611
MGH36_P3_E08	0.0839457828285	red	1	0.15445	6.9551
MGH36_P3_E09	0.17618143692	red	1	1.0628	9.6681
MGH36_P3_E10	-0.13188510918	red	1	0.35502	8.1527
MGH36_P3_E11	NA	black	0	0	6.8885
MGH36_P3_E12	-0.48814673485	red	1	2.2391	6.2945
MGH36_P3_F01	NA	black	0	0.18015	0
MGH36_P3_F02	-0.410737452653	red	1	0.3173	9.7043
MGH36_P3_F05	-0.361073382089	red	1	0.26903	9.2401
MGH36_P3_F06	-0.0789246892648	red	1	0.27023	7.7469
MGH36_P3_F07	-0.00868596230698	red	1	0.34937	7.3811
MGH36_P3_F08	NA	black	0	0.4957	0
MGH36_P3_F09	1.56439741473	black	0	0.13356	0.5509
MGH36_P3_F10	NA	black	0	0.4782	0
MGH36_P3_F11	0.320091937938	red	1	2.0405	8.1344
MGH36_P3_F12	NA	black	0	0	7.1855
MGH36_P3_G01	0.731491241118	red	1	0.123	4.2236
MGH36_P3_G02	NA	black	0	0	0
MGH36_P3_G03	-0.417911113283	red	1	0.084064	8.996
MGH36_P3_G04	0.0587558455899	red	1	0.15445	7.0665
MGH36_P3_G05	-0.411610088432	red	1	0.064883	8.9299
MGH36_P3_G06	-0.765420667085	red	1	0.070389	10.326
MGH36_P3_G08	-0.830250162328	red	1	2.6274	5.9494
MGH36_P3_G09	0.232982466567	red	1	1.5059	8.3771
MGH36_P3_G10	-0.63088475445	red	1	0.29042	10.793
MGH36_P3_G11	NA	black	0	0	0.16479
MGH36_P3_G12	NA	black	0	0.30568	0
MGH36_P3_H03	0.678233896496	red	1	3.7606	8.0437
MGH36_P3_H04	-0.771742603909	red	1	0.082703	10.4
MGH36_P3_H05	NA	black	0	0	7.385
MGH36_P3_H07	-0.707315922404	red	1	0.092207	10.18
MGH36_P3_H08	0.389166402419	red	1	0.23511	5.3696
MGH36_P3_H11	0.0586286195429	red	1	0.35502	6.9596
MGH36_P3_H12	-0.593131168771	red	1	0.32193	10.785
MGH36_P4_A01	NA	black	0	0.089498	0
MGH36_P4_A02	0.0458981265264	red	1	0.53705	6.8638
MGH36_P4_A03	1.62064082211	black	0	2.6715	9.9953
MGH36_P4_A04	NA	black	0	0.18015	0
MGH36_P4_A06	0.322398755423	red	1	0.29042	5.5408
MGH36_P4_A07	NA	black	0	0.21039	0
MGH36_P4_A08	-0.233382236227	red	1	0.21164	8.4507
MGH36_P4_A11	-0.158334951277	red	1	0.4813	8.671
MGH36_P4_A12	NA	black	0	0.10165	0
MGH36_P4_B02	NA	black	0	0	7.9977
MGH36_P4_B04	-0.442450515329	red	1	0.23389	9.5334
MGH36_P4_B05	0.624434675674	red	1	0.20789	4.3181
MGH36_P4_B06	-0.39240872894	red	1	0.060739	8.847
MGH36_P4_B08	NA	black	0	0.15963	0
MGH36_P4_B09	0.351517220457	red	1	3.0517	7.819
MGH36_P4_B12	NA	black	0	0.086784	0
MGH36_P4_C02	0.789511935735	red	1	0.29983	2.853
MGH36_P4_C03	NA	black	0	1.196	0
MGH36_P4_C04	NA	black	0	0.21537	0
MGH36_P4_C05	0.160460431273	red	1	0.20914	6.5546
MGH36_P4_C06	-0.0791161513627	red	1	0.69153	8.9775
MGH36_P4_C07	-0.101322157257	red	1	0.18396	7.7941
MGH36_P4_C08	NA	black	0	4.2744	0
MGH36_P4_C10	-0.403716380348	red	1	0.38073	9.9879
MGH36_P4_C11	0.723659048317	red	1	2.8353	8.4287
MGH36_P4_C12	-0.96540744734	red	1	2.4214	5.5128
MGH36_P4_D01	NA	black	0	4.1553	0
MGH36_P4_D02	0.139263953249	red	1	0.085425	6.7668
MGH36_P4_D05	NA	black	0	0.35502	0
MGH36_P4_D07	-0.296814383094	red	1	0.19283	8.7138
MGH36_P4_D08	-0.279739639549	red	1	0.07861	8.4364
MGH36_P4_D09	-0.825685798649	red	1	0.089498	10.644
MGH36_P4_D10	0.0861460786229	red	1	0.20038	6.918
MGH36_P4_D11	-0.497230133454	red	1	0.3115	10.171
MGH36_P4_D12	NA	black	0	0.071763	0
MGH36_P4_E01	-1.89479603881	black	0	2.5907	4.1022
MGH36_P4_E02	1.86692282213	black	0	3.6536	9.3391
MGH36_P4_E04	NA	black	0	0.75189	0
MGH36_P4_E06	NA	black	0	0.84559	0
MGH36_P4_E07	NA	black	0	0.3115	0
MGH36_P4_E08	-0.0258576822443	red	1	0.45207	7.531
MGH36_P4_E09	-0.677126710279	red	1	0.084064	10.029
MGH36_P4_E10	-0.494145062056	red	1	4.8872	6.9852
MGH36_P4_E11	-0.665955838905	red	1	0.063503	9.9139
MGH36_P4_E12	0.0355082525087	red	1	0.63506	6.7921
MGH36_P4_F01	NA	black	0	0.074505	0
