Cell_name	Zvalue	Color	Cluster	HIF1A	LEP
MGH36_P9_F05	NA	black	0	4.3158	0
MGH36_P8_G11	0.0112965593627	green3	2	5.2442	0.32423
MGH54_P2_A07	NA	black	0	3.4045	0
MGH36_P7_H06	-0.183466795327	green3	2	5.2235	0.18396
MGH53_P1_A01	NA	black	0	2.4748	0
MGH53_P1_A02	NA	black	0	4.9682	0
MGH54_P2_E07	NA	black	0	5.7158	0
MGH53_P4_F07	NA	black	0	5.696	0
MGH53_P2_C05	NA	black	0	5.4484	0
MGH53_P4_H07	-0.390442215633	green3	2	5.9753	0.16736
MGH53_P2_C06	-0.151711173981	green3	2	6.235	0.26903
MGH36_P3_F03	NA	black	0	1.2504	0
MGH36_P2_A10	NA	black	0	0	0
MGH53_P4_E03	NA	black	0	5.7496	0
MGH36_P9_D12	NA	black	0	6.4679	0
MGH54_P2_H03	NA	black	0	5.8218	0
MGH36_P4_D06	-0.179868373603	green3	2	5.0327	0.15056
MGH53_P2_B03	NA	black	0	3.2305	0
MGH53_P4_F03	NA	black	0	3.259	0
MGH36_P10_E09	NA	black	0	3.7693	0
MGH53_P1_G02	0.20716875889	green3	2	3.2638	0.1865
MGH54_P2_A02	NA	black	0	6.7818	0
MGH36_P3_A07	0.363772633999	green3	2	2.9568	0.14012
MGH53_P4_E12	NA	black	0	4.8379	0
MGH54_P2_A03	NA	black	0	4.4223	0
MGH53_P4_E10	NA	black	0	4.9079	0
MGH54_P2_D08	-0.342455682508	green3	2	5.8306	0.17249
MGH36_P8_A02	NA	black	0	6.5417	0
MGH54_P2_B07	NA	black	0	2.7978	0
MGH53_P1_B10	NA	black	0	4.9455	0
MGH53_P2_F08	0.221083552529	green3	2	0.90227	0.25822
MGH36_P10_A01	NA	black	0	5.0603	0
MGH36_P10_F01	NA	black	0	5.2309	0
MGH53_P4_G03	NA	black	0	3.5692	0
MGH53_P1_F12	NA	black	0	6.1017	0
MGH36_P4_B03	NA	black	0	0.15834	0
MGH54_P2_C07	NA	black	0	6.0352	0
MGH53_P1_B02	NA	black	0	5.2495	0
MGH54_P2_D05	NA	black	0	5.0054	0
MGH53_P2_C08	NA	black	0	5.9483	0
MGH53_P4_H09	-0.148796443065	green3	2	4.8602	0.13356
MGH36_P8_H02	NA	black	0	3.1841	0
MGH36_P10_H10	NA	black	0	5.5672	0
MGH53_P1_A12	-0.763475888344	black	0	6.8053	0.12565
MGH36_P8_F08	NA	black	0	4.8378	0
MGH53_P1_D10	0.0528383091111	green3	2	4.5734	0.47301
MGH53_P4_A09	NA	black	0	4.8854	0
MGH53_P2_H08	NA	black	0	1.622	0
MGH36_P4_A09	NA	black	0	5.0445	0
MGH53_P4_C08	0.0541203877644	green3	2	4.1476	0.13225
MGH36_P5_E04	NA	black	0	5.6718	0
MGH53_P2_A07	NA	black	0	7.0018	0
MGH54_P2_G10	NA	black	0	4.3728	0
MGH36_P7_E06	NA	black	0	3.2464	0
MGH36_P9_D04	NA	black	0	6.7247	0
MGH53_P1_C12	0.881535671403	black	0	0.5568	0.14926
MGH36_P8_F06	NA	black	0	3.6829	0
MGH36_P1_G11	-1.05756124556	black	0	6.5613	0.020058
MGH53_P1_F02	NA	black	0	5.6861	0
MGH54_P2_D10	-0.281834364755	green3	2	5.3381	0.1375
MGH36_P9_A08	0.0898773462411	green3	2	4.7955	0.44573
MGH53_P2_H03	NA	black	0	6.3339	0
MGH53_P4_B03	NA	black	0	4.666	0
MGH53_P1_F10	0.131774169505	green3	2	3.8377	0.14405
MGH53_P4_B05	NA	black	0	6.0754	0
MGH53_P2_B08	NA	black	0	3.8796	0
MGH36_P3_B06	NA	black	0	5.0447	0
MGH36_P10_C02	NA	black	0	6.0577	0
