Cell_name	Zvalue	Color	Cluster	CREB1	FLT1
MGH36_P3_F06	0.455613375749	red	1	0.097611	0.15963
MGH36_P3_F07	NA	black	0	0	0.16607
MGH36_P3_F08	NA	black	0	0	0.1776
MGH36_P3_F09	0.289759743349	red	1	0.18903	0.23634
MGH36_P3_F10	NA	black	0	0.48336	0
MGH36_P3_F11	NA	black	0	0.22404	0
MGH36_P3_F12	NA	black	0	0.33342	0
MGH36_P3_G01	NA	black	0	0	0.44679
MGH36_P3_G02	NA	black	0	0	0.24732
MGH36_P3_G03	0.151502515448	red	1	0.1003	0.32769
MGH36_P3_G04	NA	black	0	0.03984	0
MGH36_P3_G05	0.506176532563	red	1	0.045443	0.14535
MGH36_P3_G06	0.0392691583779	red	1	0.6248	0.36961
MGH36_P3_G08	0.459870023075	red	1	0.067639	0.16479
MGH36_P3_G09	0.309140267379	red	1	0.084064	0.24367
MGH36_P3_G10	NA	black	0	0	0.32077
MGH36_P3_G11	NA	black	0	0	0
MGH36_P3_G12	NA	black	0	0	0.29278
MGH36_P3_H03	0.149048963071	red	1	0.70929	0.18903
MGH36_P3_H04	0.445080492073	red	1	0.041243	0.17887
MGH36_P3_H05	NA	black	0	0	0.34937
MGH36_P3_H07	0.00876590909526	red	1	0.91609	0.38957
MGH36_P3_H08	-0.263936744224	red	1	0.074505	0.54498
MGH36_P3_H11	0.153707873707	red	1	3.6527	0.48233
MGH36_P3_H12	0.257822199369	red	1	3.7324	0.50284
MGH36_P4_A01	NA	black	0	0	0
MGH36_P4_A02	NA	black	0	0	0.28096
MGH36_P4_A03	NA	black	0	0.074505	0
MGH36_P4_A04	-0.530402343086	red	1	2.2621	0.20664
MGH36_P4_A06	NA	black	0	0	0.21412
MGH36_P4_A07	-0.649232747009	red	1	2.1057	0.11503
MGH36_P4_A08	NA	black	0	0	0
MGH36_P4_A11	0.158424168948	red	1	0.096262	0.32423
MGH36_P4_A12	0.396448162668	red	1	0.062122	0.20038
MGH36_P4_B02	NA	black	0	0	0
MGH36_P4_B04	-0.146143851512	red	1	0.14796	0.4916
MGH36_P4_B05	NA	black	0	0	0.1903
MGH36_P4_B06	NA	black	0	0.1635	0
MGH36_P4_B08	NA	black	0	2.9745	0
MGH36_P4_B09	NA	black	0	2.7729	0
MGH36_P4_B12	NA	black	0	0	0.13619
MGH36_P4_C02	0.526365398428	red	1	0.053806	0.13225
MGH36_P4_C03	-0.652013936963	red	1	2.4552	0.19535
MGH36_P4_C04	NA	black	0	0	0.24489
MGH36_P4_C05	-0.125858947577	red	1	1.4641	0.26424
MGH36_P4_C06	NA	black	0	0.10568	0
MGH36_P4_C07	0.0579303783636	red	1	0.14535	0.3774
MGH36_P4_C08	-0.044972212904	red	1	0.053806	0.43189
MGH36_P4_C10	NA	black	0	0	0
MGH36_P4_C11	NA	black	0	0	0.51299
MGH36_P4_C12	-0.71767870498	red	1	2.9657	0.24732
MGH36_P4_D01	NA	black	0	0.21909	0
MGH36_P4_D02	0.128615841143	red	1	0.07861	0.34142
MGH36_P4_D05	NA	black	0	0.13225	0
MGH36_P4_D07	0.408949058736	red	1	0.17632	0.16607
MGH36_P4_D08	0.48045193633	red	1	0.053806	0.15704
MGH36_P4_D09	0.074129818358	red	1	0.062122	0.37072
MGH36_P4_D10	-0.309865994751	red	1	0.23511	0.59932
MGH36_P4_D11	-0.17852606106	red	1	0.05797	0.49978
MGH36_P4_D12	NA	black	0	0.74674	0
MGH36_P4_E01	0.0242155261534	red	1	0.96938	0.27977
MGH36_P4_E02	0.28860437308	red	1	0.052416	0.25942
MGH36_P4_E04	NA	black	0	0	0.21039
MGH36_P4_E06	-0.0702604812897	red	1	2.8963	0.42223
MGH36_P4_E07	0.391001692918	red	1	0.15445	0.18269
MGH36_P4_E08	NA	black	0	0	0
MGH36_P4_E09	NA	black	0	0.12168	0
MGH36_P4_E10	NA	black	0	0	0
MGH36_P4_E11	NA	black	0	0.23511	0
MGH36_P4_E12	NA	black	0	0.20914	0
MGH36_P4_F01	NA	black	0	0	0
MGH36_P4_F02	0.397308042798	red	1	0.15963	0.1776
MGH36_P4_F03	-0.053096704824	red	1	0.11103	0.43829
MGH36_P4_F04	NA	black	0	0.063503	0
MGH36_P4_F05	0.381653885127	red	1	0.05797	0.20914
MGH36_P4_F06	0.0573831497427	red	1	0.15834	0.3774
MGH36_P4_F07	0.617925267671	red	1	0.073135	0.075875
MGH36_P4_F09	NA	black	0	0	0
MGH36_P4_F10	NA	black	0	0	0.14926
MGH36_P4_F11	0.0997857155622	red	1	0.064883	0.35727
MGH36_P4_F12	0.426247793192	red	1	0.05797	0.18523
MGH36_P4_G01	0.094002602553	red	1	0.60692	0.30801
MGH36_P4_G02	-0.296860226586	red	1	0.24853	0.59455
MGH36_P4_G03	NA	black	0	0	0.22157
MGH36_P4_G04	-0.360030205722	red	1	2.6859	0.32423
MGH36_P4_G05	-0.451531002732	red	1	0.18015	0.6663
MGH36_P4_G06	-1.25595403128	black	0	3.3515	0.1635
MGH36_P4_G08	0.147946944305	red	1	0.19535	0.32193
MGH36_P4_G09	NA	black	0	0	0.32539
MGH36_P4_G10	NA	black	0	0.056584	0
MGH36_P4_G11	NA	black	0	0	0
MGH36_P4_H01	NA	black	0	0	0.2916
MGH36_P4_H02	NA	black	0	0.12433	0
MGH36_P4_H03	-0.0411314043648	red	1	0.22527	0.43616
MGH36_P4_H04	NA	black	0	0.064883	0
MGH36_P4_H05	NA	black	0	0	0.41684
MGH36_P4_H09	NA	black	0	0	0
MGH36_P4_H12	NA	black	0	0.069015	0
MGH36_P6_A02	NA	black	0	0	0.25096
MGH36_P6_A04	-0.515714297012	red	1	2.801	0.28688
MGH36_P6_A05	0.148841228224	red	1	0.071763	0.33113
MGH36_P6_A07	-0.628690657061	red	1	0.074505	0.72683
MGH36_P6_A08	NA	black	0	2.1253	0
MGH36_P6_A09	NA	black	0	0	0
MGH36_P6_A10	0.312063318434	red	1	0.042644	0.24853
MGH36_P6_A11	NA	black	0	0	0.24367
MGH36_P6_B03	0.000520626522486	red	1	0.10299	0.40926
MGH36_P6_B04	NA	black	0	0.077243	0
MGH36_P6_B05	NA	black	0	1.8193	0
MGH36_P6_B06	NA	black	0	0.07861	0
