Cell_name	Zvalue	Color	Cluster	PPARD	SOD1
MGH36_P3_E11	NA	black	0	0	6.921
MGH36_P3_E12	-0.0472088803111	red	1	0.1865	5.8572
MGH36_P3_F01	-0.485556442503	red	1	0.20664	6.5328
MGH36_P3_F02	NA	black	0	0	7.2226
MGH36_P3_F05	2.29152508633	black	0	4.8684	7.0094
MGH36_P3_F06	-0.697204762533	red	1	0.17632	6.8333
MGH36_P3_F07	0.531786135191	red	1	0.27381	4.9238
MGH36_P3_F08	-0.514032767708	red	1	0.64708	7.0291
MGH36_P3_F09	-0.989092866843	red	1	0.32308	7.4742
MGH36_P3_F10	NA	black	0	0	7.4867
MGH36_P3_F11	-0.566269096707	red	1	0.20789	6.6582
MGH36_P3_F12	NA	black	0	0	0
MGH36_P3_G01	-0.804674114985	red	1	0.39067	7.2484
MGH36_P3_G02	NA	black	0	0	5.2365
MGH36_P3_G03	-1.51596572271	black	0	0.26903	8.2589
MGH36_P3_G04	-0.0259755050586	red	1	0.35163	5.8306
MGH36_P3_G05	NA	black	0	0	5.8021
MGH36_P3_G06	-0.213893219492	red	1	0.59072	6.2655
MGH36_P3_G08	0.0941509003649	red	1	0.44784	5.6048
MGH36_P3_G09	NA	black	0	0	2.1808
MGH36_P3_G10	NA	black	0	0	6.2459
MGH36_P3_G11	-0.435308900276	red	1	0.16864	6.4351
MGH36_P3_G12	0.0325900143084	red	1	1.0538	5.6179
MGH36_P3_H03	-6.87257460795	black	0	5.1645	2.3231
MGH36_P3_H04	-0.576149047056	red	1	0.48027	6.9313
MGH36_P3_H05	-0.591517124532	red	1	0.18523	6.6805
MGH36_P3_H07	-0.50824539192	red	1	0.54893	6.8756
MGH36_P3_H08	-0.0563061629814	red	1	0.338	5.8823
MGH36_P3_H11	0.365268636716	red	1	0.2461	5.2072
MGH36_P3_H12	-0.0475841271832	red	1	1.0621	6.0302
MGH36_P4_A01	-2.20648947953	black	0	4.5236	4.4405
MGH36_P4_A02	0.109066175622	red	1	1.5627	7.1745
