Cell_name	Zvalue	Color	Cluster	CPT1A	PPARA
MGH54_P2_G04	0.284109746286	green3	2	0.32998	0.17505
MGH36_P6_C01	NA	black	0	0.72247	0
MGH53_P2_E06	-0.0192410104857	green3	2	1.0642	0.074505
MGH53_P1_E01	NA	black	0	0.81311	0
MGH36_P1_B01	0.191676050072	green3	2	0.47716	0.21785
MGH54_P2_H04	-0.996220741122	black	0	0.50386	1.5883
MGH36_P2_C05	0.25094113986	green3	2	0.58688	0.071763
MGH36_P6_H05	0.341534223865	green3	2	0.4351	0.063503
MGH36_P10_E06	0.0706842682172	green3	2	0.83754	0.21537
MGH54_P2_F03	NA	black	0	0.67717	0
MGH36_P4_B10	0.189294649563	green3	2	0.64155	0.12697
MGH54_P2_F02	-0.0267203330672	green3	2	1.0854	0.12168
MGH36_P2_E11	0.207186560366	green3	2	0.6332	0.10299
MGH54_P2_D11	0.216100828462	green3	2	0.35163	0.23389
MGH54_P2_G01	0.175828301754	green3	2	0.70929	0.086784
MGH36_P9_D02	NA	black	0	0	1.8327
MGH54_P2_E06	0.559863943421	green3	2	0.075875	0.048236
MGH54_P16_F12	0.366864127004	green3	2	0.38957	0.063503
MGH53_P5_C12	NA	black	0	0.543	0
MGH54_P12_C10	NA	black	0	0.35614	0
MGH54_P16_F02	NA	black	0	0	0.45312
MGH54_P11_C11	NA	black	0	0.23143	0
MGH53_P1_E03	NA	black	0	0.49876	0
MGH54_P15_D06	NA	black	0	0.15834	0
MGH54_P14_F05	NA	black	0	0	0
MGH54_P16_A03	NA	black	0	0.18015	0
MGH53_P4_G11	NA	black	0	0	0.089498
MGH53_P7_B09	0.291131793535	green3	2	0.514	0.071763
MGH54_P17_D11	NA	black	0	0.30334	0
MGH54_P10_G04	NA	black	0	0.17505	0
MGH54_P10_C06	NA	black	0	0.5724	0
MGH53_P2_A02	0.0678427878921	green3	2	0.7277	0.30568
MGH53_P4_F06	0.203366940568	green3	2	0.69064	0.051024
MGH53_P7_F07	0.350567220125	green3	2	0.42331	0.060739
MGH53_P11_F06	0.250049807718	green3	2	0.53705	0.11103
MGH53_P5_G02	NA	black	0	0	0
MGH53_P1_F09	0.248592799694	green3	2	0.53804	0.11237
MGH53_P11_H03	0.156730421388	green3	2	0.73292	0.10165
MGH53_P10_D11	0.252611216159	green3	2	0.56365	0.088142
MGH53_P1_A10	NA	black	0	0.44679	0
MGH53_P4_B12	0.13957035655	green3	2	0.68706	0.18269
MGH53_P5_H09	0.00247152808086	green3	2	1.0286	0.28688
MGH53_P9_D07	-0.0244537988709	green3	2	1.0384	1.0517
MGH53_P11_E03	0.362768518688	green3	2	0.33914	0.094912
MGH53_P1_C02	-0.00472766543281	green3	2	1.0391	0.077243
MGH53_P10_F11	NA	black	0	0	0.18269
MGH53_P1_E02	NA	black	0	1.7381	0
MGH53_P1_D07	0.184103689929	green3	2	0.43296	0.24245
MGH53_P6_B01	NA	black	0	0.47093	0
MGH53_P2_G04	-0.728415597239	red	1	0.74071	1.8262
MGH53_P1_C05	0.00324373688976	green3	2	0.82782	0.44255
MGH53_P2_G09	0.00797167127705	green3	2	0.81967	0.42868
MGH53_P5_A05	NA	black	0	1.2228	0
MGH53_P5_F04	NA	black	0	0	0.29514
MGH53_P10_H03	0.194246202584	green3	2	0.67627	0.085425
MGH53_P11_F08	0.262620850171	green3	2	0.55189	0.082703
MGH54_P7_F12	NA	black	0	0.66812	0
MGH53_P8_F03	NA	black	0	1.3857	0
MGH53_P11_A07	0.271682482665	green3	2	0.37518	0.16993
MGH53_P6_B11	0.148172179338	green3	2	0.56755	0.23756
MGH53_P4_C07	0.147698162228	green3	2	0.34483	0.30217
MGH53_P6_H06	0.14104894183	green3	2	0.58015	0.24245
MGH36_P1_A01	1.59617120746	black	0	1.7549	2.1017
MGH36_P1_A02	NA	black	0	0	0
MGH36_P1_A03	-0.0433791518897	green3	2	1.109	0.086784
MGH36_P1_A04	-0.743412092247	red	1	2.2931	0.086784
MGH36_P1_A05	0.422489563743	green3	2	0.28333	0.066261
MGH36_P1_A06	-1.10406727353	black	0	3.707	0.22897
MGH36_P1_A08	NA	black	0	1.6613	0
MGH36_P1_A10	NA	black	0	0.60122	0
MGH36_P1_A12	NA	black	0	1.6663	0
MGH36_P1_B02	-0.140581252456	green3	2	1.3516	0.16736
MGH36_P1_B03	-0.623755069059	red	1	1.9546	0.02432
MGH36_P1_B04	-0.682297572408	red	1	2.2345	0.1003
MGH36_P1_B06	0.432073899836	green3	2	0.27977	0.059355
